Indicator,CM or BME,Unit,Field,Input type,Options,Method of data collection,Frequency,Method of analysis,Playbooks,Usable,Notes
Volume of water in the structure in monsoon (m3),CM,m,Water level,decimal,,Water level recordings using Staff gauge or Pressure Transducers/Automatic Water Level Recorder; Rain gauge (manual or automatic),Daily,Area x water level x no. of fillings; Baseline is zero as no rainfall runoff was harvested before,Pressure Transducers_Playbook.pdf; Staff Gauge | WELL LABS,yes,
Volume of water in the structure in monsoon (m3),CM,count,Number of fillings,integer,,Water level recordings using Staff gauge or Pressure Transducers/Automatic Water Level Recorder; Rain gauge (manual or automatic),Daily,Area x water level x no. of fillings; Baseline is zero as no rainfall runoff was harvested before,Pressure Transducers_Playbook.pdf; Staff Gauge | WELL LABS,yes,
Volume of water in the structure in monsoon (m3),CM,mm,Rainfall (local measurement),decimal,,Water level recordings using Staff gauge or Pressure Transducers/Automatic Water Level Recorder; Rain gauge (manual or automatic),Daily,Area x water level x no. of fillings; Baseline is zero as no rainfall runoff was harvested before,Pressure Transducers_Playbook.pdf; Staff Gauge | WELL LABS,yes,
Volume of water retained in the structure during post-monsoon,CM,m,Water level,decimal,,Water level recordings using Staff gauge or Automatic Water Level Recorder,Weekly or how quickly water level changes in the structure,Area x water level x no. of fillings; Baseline is zero as no rainfall runoff was harvested before,Pressure Transducers_Playbook.pdf; Staff Gauge | WELL LABS,yes,
Groundwater level,CM,ft bgl,Groundwater level measured through wells,decimal,,Manual water level sounder,Monthly/Seasonal,Water level time series visualization (for each hydrological unit such as ridge vs valley),,yes,
Increase in cropping acreage,one-time,acre,Area under cultivation for rabi season,decimal,,Farmer survey,Seasonal or one-time,Pre and Post Treatment comparison,,yes,
Increase in cropping acreage,one-time,acre,Area under cultivation for zaid season,decimal,,Farmer survey,Seasonal or one-time,Pre and Post Treatment comparison,,yes,
Silt/soil volume deposited in the structure,one-time,m,Silt height in the structure,decimal,,Staff gauge/Measuring tape,After monsoon,Area x height of siltation; Baseline is zero as no rainfall runoff was harvested before,Staff Gauge | WELL LABS,yes,
Volumetric groundwater pumped,CM,liters/sec,Rate of pipe flow,decimal,,Farmer diary,Each irrigation application,Total number of pumping hours x Rate of pipe flow,,yes,
Volumetric groundwater pumped,CM,hours,Number of pumping hours,decimal,,Farmer diary,Each irrigation application,Total number of pumping hours x Rate of pipe flow,,yes,
Volumetric groundwater pumped,CM,m3,Flow meter readings,decimal,,Farmer diary,Each irrigation application,Total number of pumping hours x Rate of pipe flow,,yes,Alternative to rate x hours (OR path)
Irrigation water applied from surface water storage,CM,liters/sec,Rate of pipe flow,decimal,,Farmer diary,Each irrigation application,Total number of pumping hours x Rate of pipe flow,,yes,
