District,Practice,Plot,Latitude,Longitude,Date,Rainfall_on_day_mm,1-R,1-F,2-R,2-F,3-R,3-F,4-R,4-F,5-R,5-F,Avg_Soil_Moist_%
Medak,PMDS,Control 1,17.862745,78.546769,13-09-25,5.7,,12.6,,11.4,,15.1,,15.6,,17.2,14.38
Medak,PMDS,Control 1,17.862745,78.546769,16-09-25,0.4,,9.8,,8.5,,11.7,,10.2,,10.7,10.18
Medak,PMDS,Control 1,17.862745,78.546769,18-09-25,10.6,,12.4,,14,,10.2,,12.1,,14.8,12.7
Medak,PMDS,Control 1,17.862745,78.546769,20-09-25,0,,9.3,,12.1,,17,,11.1,,14.3,12.76
Medak,PMDS,Control 1,17.862745,78.546769,23-09-25,0.2,,11.6,,13.1,,13.5,,10,,14.9,12.62
Medak,PMDS,Control 1,17.862745,78.546769,26-09-25,17.9,,14.1,,8.6,,12.8,,14.1,,20.3,13.98
Medak,PMDS,Control 1,17.862745,78.546769,29-09-25,0.9,,10.3,,9.1,,12.5,,9.3,,14.5,11.14
Medak,PMDS,Control 1,17.862745,78.546769,1-10-2025,0.1,,11,,12.2,,13.8,,10.4,,17.6,13
Medak,PMDS,Control 1,17.862745,78.546769,7-10-2025,0.1,,8.1,,12.3,,10.3,,9.6,,14.8,11.02
Medak,PMDS,Control 1,17.862745,78.546769,9-10-2025,0,,11.6,,8.9,,7.8,,10.2,,11.1,9.92
Medak,PMDS,Control 1,17.862745,78.546769,19-10-25,0,,8.1,,7.9,,8.4,,7.6,,8.6,8.12
Medak,PMDS,Control 1,17.862745,78.546769,22-10-25,0,,7.8,,8.5,,7.5,,8.6,,7.3,7.94
Medak,PMDS,Control 2,17.863193,78.547122,13-09-25,5.7,,19.6,,21.8,,22.6,,16,,20.5,20.1
Medak,PMDS,Control 2,17.863193,78.547122,16-09-25,0.4,,9.8,,15.2,,8.9,,11.3,,10,11.04
Medak,PMDS,Control 2,17.863193,78.547122,18-09-25,10.6,,10.8,,15.2,,10.1,,13.8,,15.2,13.02
Medak,PMDS,Control 2,17.863193,78.547122,20-09-25,0,,16.5,,18.1,,10.2,,6.7,,17,13.7
Medak,PMDS,Control 2,17.863193,78.547122,23-09-25,0.2,,14.2,,11.8,,12.4,,7.3,,21.8,13.5
Medak,PMDS,Control 2,17.863193,78.547122,26-09-25,17.9,,7.8,,17.2,,13.1,,7.6,,16.2,12.38
Medak,PMDS,Control 2,17.863193,78.547122,29-09-25,0.9,,10.2,,10.5,,9.8,,7.8,,12.5,10.16
Medak,PMDS,Control 2,17.863193,78.547122,1-10-2025,0.1,,8.9,,13.6,,11.2,,13.3,,13.5,12.1
Medak,PMDS,Control 2,17.863193,78.547122,7-10-2025,0.1,,9.6,,10.7,,7.8,,16.9,,7.7,10.54
Medak,PMDS,Control 2,17.863193,78.547122,9-10-2025,0,,8.8,,8.9,,12.6,,10.6,,10.3,10.24
Medak,PMDS,Control 2,17.863193,78.547122,15-10-25,0,,7.9,,9.2,,10.6,,7.8,,7.5,8.6
Medak,PMDS,Control 2,17.863193,78.547122,19-10-25,0,,8.3,,9,,7.4,,7.1,,9.4,8.24
Medak,PMDS,Control 2,17.863193,78.547122,22-10-25,0,,8.7,,11.5,,7.3,,6.3,,9.3,8.62
Medak,PMDS,Treatment 1,17.862693,78.546389,26-08-25,6.3,,10.7,,7.3,,7.5,,9.6,,8,8.62
Medak,PMDS,Treatment 1,17.862693,78.546389,29-08-25,14.2,,11,,14,,10.9,,11.6,,12.3,11.96
Medak,PMDS,Treatment 1,17.862693,78.546389,01-09-25,1.8,,8.4,,8.6,,8.3,,9,,12.3,9.32
Medak,PMDS,Treatment 1,17.862693,78.546389,04-09-25,0,,11.2,,8.2,,8.9,,9.8,,10.4,9.7
Medak,PMDS,Treatment 1,17.862693,78.546389,11-9-2025,11.5,,9.7,,10.5,,11.2,,10.2,,7.6,9.84
Medak,PMDS,Treatment 1,17.862693,78.546389,16-09-25,0.4,,12.7,,13.3,,12.1,,15.2,,12.7,13.2
Medak,PMDS,Treatment 1,17.862693,78.546389,18-09-25,10.6,,19.3,,14.1,,11.1,,24.1,,16.9,17.1
Medak,PMDS,Treatment 1,17.862693,78.546389,20-09-25,0,,12.4,,8.7,,16.8,,17.4,,20.1,15.08
Medak,PMDS,Treatment 1,17.862693,78.546389,23-09-25,0.2,,13.9,,11,,12.5,,24,,19.5,16.18
Medak,PMDS,Treatment 1,17.862693,78.546389,26-09-25,17.9,,14.6,,9.3,,10.3,,23,,18.6,15.16
Medak,PMDS,Treatment 1,17.862693,78.546389,29-09-25,0.9,,11.1,,15.4,,18.3,,14.7,,11.2,14.14
Medak,PMDS,Treatment 1,17.862693,78.546389,01-10-25,0.1,,14.6,,9.9,,13.6,,20.1,,21,15.84
Medak,PMDS,Treatment 1,17.862693,78.546389,7-10-2025,0.1,,13,,9.6,,13.4,,14.9,,10.2,12.22
Medak,PMDS,Treatment 1,17.862693,78.546389,9-10-2025,0,,15.2,,17.7,,14.9,,8.9,,8.3,13
Medak,PMDS,Treatment 1,17.862693,78.546389,11-10-25,0,,16,,20.2,,14.6,,19.9,,8.3,15.8
Medak,PMDS,Treatment 1,17.862693,78.546389,15-10-25,0,,10,,8.5,,7.6,,8.1,,8.9,8.62
Medak,PMDS,Treatment 1,17.862693,78.546389,15-10-25,0,,6,,12.6,,7.6,,8.9,,10.5,9.12
Medak,PMDS,Treatment 1,17.862693,78.546389,19-10-25,0,,8,,9.4,,7.9,,12,,7.3,8.92
Medak,PMDS,Treatment 1,17.862693,78.546389,22-10-25,0,,12.3,,8.1,,8.8,,9.3,,10.5,9.8
Medak,PMDS,Treatment 2,17.863304,78.547178,26-08-25,6.3,,11.8,,9.2,,8.1,,9.2,,7.8,9.22
Medak,PMDS,Treatment 2,17.863304,78.547178,29-08-25,14.2,,11.1,,8.2,,8.5,,13.3,,8.8,9.98
Medak,PMDS,Treatment 2,17.863304,78.547178,01-09-25,1.8,,10.6,,7.6,,10.4,,13.1,,11.2,10.58
Medak,PMDS,Treatment 2,17.863304,78.547178,4-9-25,0,,10.5,,8.8,,12.9,,13.1,,11.4,11.34
