intervention,category,question,outcome,indicator,assumption,metric,input_type,variable_name,selectors,skip_logic
Farm pond,one time,"Location (lat,long)",,,,"lat,long",coordinate,fp_ot_location,,
Farm pond,one time,Date,,,,,date,fp_ot_date,,
Farm pond,one time,District name,,,,,text,fp_ot_district_name,,
Farm pond,one time,Block name,,,,,text,fp_ot_block_name,,
Farm pond,one time,Village name,,,,,text,fp_ot_village_name,,
Farm pond,one time,Farmer name,,,,,text,fp_ot_farmer_name,,
Farm pond,one time,Farm Pond Type,,,,,single select,fp_ot_farm_pond_type,Community | MGNREGA | Individual,
Farm pond,one time,Number of beneficiaries connected to the farm pond,,,,,,,,
Farm pond,one time,Is the farm pond lined or unlined?,,,,,single select,fp_ot_is_the_farm_pond_lined_or_unlined,Lined | Unlined,
Farm pond,one time,Is this new structure or rejuvenated?,,,,,single select,fp_ot_structure_status,New structure | Rejuvenated,
Farm pond,one time,Date of Construction of the farm pond,,,,,date,fp_ot_date_of_construction_of_the_farm_pond,,show if fp_ot_structure_status = New structure
Farm pond,one time,What earthworks were done?,,,,,multi select,fp_ot_what_was_done,Deepening | Bunding | Pitching,show if fp_ot_structure_status = Rejuvenated
Farm pond,one time,Additional depth created (m)?,,,,m,decimal,fp_ot_additional_depth_created,,show if fp_ot_structure_status = Rejuvenated
Farm pond,one time,Length (m),,,,m,decimal,fp_ot_length,,
Farm pond,one time,Breadth (m),,,,m,decimal,fp_ot_breadth,,
Farm pond,one time,Height (m),,,,m,decimal,fp_ot_height,,
Farm pond,one time,Source of water in farm pond,,,,,multi select,fp_ot_source_of_water_in_farm_pond,Dugwell | Borewell | Canal | Rainfall runoff | River,
Farm pond,one time,Is there a flow meter?,,,,,single select,fp_ot_has_flow_meter,Yes | No,
Farm pond,one time,What is the rate of discharge through an irrigation pipe (liters per second)?,,,,liters/sec,decimal,fp_ot_what_is_the_rate_of_discharge_through_an_irrigati,,show if fp_ot_has_flow_meter = No
Farm pond,one time,Use of Farm Pond,,,,,multi select,fp_ot_use_of_farm_pond,Fishery | Agriculture (irrigation) | Foxnut | Chesnut | Domestic use | Village Water Supply | None,
Farm pond,one time,Staff Gauge Installation Date,,,,,date,fp_ot_staff_gauge_installation_date,,
Farm pond,one time,What is the volumetric water savings KPI decided for the farm pond (m3) ?,,,,,text,fp_ot_what_is_the_volumetric_water_savings_kpi_decided_,,
Farm pond,one time,Farm Pond Filled,,,,,single select,fp_ot_farm_pond_filled,Yes | No,
